18/03/10 03:50:08 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/10 03:50:08 INFO client.RMProxy: Connecting to ResourceManager at cluster-cc92-m/10.138.0.4:8032
18/03/10 03:50:10 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/10 03:50:11 INFO input.FileInputFormat: Total input files to process : 3035
18/03/10 03:50:12 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/10 03:50:12 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1520649843772_0008
18/03/10 03:50:12 INFO impl.YarnClientImpl: Submitted application application_1520649843772_0008
18/03/10 03:50:12 INFO mapreduce.Job: The url to track the job: http://cluster-cc92-m:8088/proxy/application_1520649843772_0008/
18/03/10 03:50:12 INFO mapreduce.Job: Running job: job_1520649843772_0008
18/03/10 03:50:19 INFO mapreduce.Job: Job job_1520649843772_0008 running in uber mode : false
18/03/10 04:53:58 INFO mapreduce.Job:  map 89% reduce 0%
18/03/10 04:54:42 INFO mapreduce.Job:  map 90% reduce 0%
18/03/10 04:55:19 INFO mapreduce.Job:  map 91% reduce 0%
18/03/10 04:55:59 INFO mapreduce.Job:  map 92% reduce 0%
18/03/10 04:56:37 INFO mapreduce.Job:  map 93% reduce 0%
18/03/10 04:57:16 INFO mapreduce.Job:  map 94% reduce 0%
18/03/10 04:57:55 INFO mapreduce.Job:  map 95% reduce 0%
18/03/10 04:58:37 INFO mapreduce.Job:  map 95% reduce 3%
18/03/10 04:58:42 INFO mapreduce.Job:  map 95% reduce 7%
18/03/10 04:58:43 INFO mapreduce.Job:  map 95% reduce 11%
18/03/10 04:58:45 INFO mapreduce.Job:  map 95% reduce 15%
18/03/10 04:58:47 INFO mapreduce.Job:  map 96% reduce 15%
18/03/10 04:59:14 INFO mapreduce.Job:  map 96% reduce 16%
18/03/10 04:59:37 INFO mapreduce.Job:  map 97% reduce 16%
18/03/10 05:00:26 INFO mapreduce.Job:  map 98% reduce 16%
18/03/10 05:01:12 INFO mapreduce.Job:  map 99% reduce 16%
18/03/10 05:01:37 INFO mapreduce.Job:  map 99% reduce 17%
18/03/10 05:01:57 INFO mapreduce.Job:  map 100% reduce 17%
18/03/10 05:02:20 INFO mapreduce.Job:  map 100% reduce 18%
18/03/10 05:02:26 INFO mapreduce.Job:  map 100% reduce 22%
18/03/10 05:02:28 INFO mapreduce.Job:  map 100% reduce 23%
18/03/10 05:02:31 INFO mapreduce.Job:  map 100% reduce 28%
18/03/10 05:02:32 INFO mapreduce.Job:  map 100% reduce 29%
18/03/10 05:02:34 INFO mapreduce.Job:  map 100% reduce 39%
18/03/10 05:02:37 INFO mapreduce.Job:  map 100% reduce 41%
18/03/10 05:02:38 INFO mapreduce.Job:  map 100% reduce 42%
18/03/10 05:02:40 INFO mapreduce.Job:  map 100% reduce 49%
18/03/10 05:02:43 INFO mapreduce.Job:  map 100% reduce 51%
18/03/10 05:02:44 INFO mapreduce.Job:  map 100% reduce 52%
18/03/10 05:02:46 INFO mapreduce.Job:  map 100% reduce 56%
18/03/10 05:02:49 INFO mapreduce.Job:  map 100% reduce 57%
18/03/10 05:02:50 INFO mapreduce.Job:  map 100% reduce 58%
18/03/10 05:02:52 INFO mapreduce.Job:  map 100% reduce 60%
18/03/10 05:02:53 INFO mapreduce.Job:  map 100% reduce 62%
18/03/10 05:02:55 INFO mapreduce.Job:  map 100% reduce 63%
18/03/10 05:02:56 INFO mapreduce.Job:  map 100% reduce 64%
18/03/10 05:02:58 INFO mapreduce.Job:  map 100% reduce 65%
18/03/10 05:02:59 INFO mapreduce.Job:  map 100% reduce 67%
18/03/10 05:03:01 INFO mapreduce.Job:  map 100% reduce 68%
18/03/10 05:03:02 INFO mapreduce.Job:  map 100% reduce 69%
18/03/10 05:03:04 INFO mapreduce.Job:  map 100% reduce 70%
18/03/10 05:03:05 INFO mapreduce.Job:  map 100% reduce 72%
18/03/10 05:03:07 INFO mapreduce.Job:  map 100% reduce 73%
18/03/10 05:03:08 INFO mapreduce.Job:  map 100% reduce 74%
18/03/10 05:03:11 INFO mapreduce.Job:  map 100% reduce 75%
18/03/10 05:03:13 INFO mapreduce.Job:  map 100% reduce 76%
18/03/10 05:03:14 INFO mapreduce.Job:  map 100% reduce 78%
18/03/10 05:03:16 INFO mapreduce.Job:  map 100% reduce 79%
18/03/10 05:03:17 INFO mapreduce.Job:  map 100% reduce 80%
18/03/10 05:03:19 INFO mapreduce.Job:  map 100% reduce 81%
18/03/10 05:03:20 INFO mapreduce.Job:  map 100% reduce 82%
18/03/10 05:03:22 INFO mapreduce.Job:  map 100% reduce 84%
18/03/10 05:03:23 INFO mapreduce.Job:  map 100% reduce 85%
18/03/10 05:03:25 INFO mapreduce.Job:  map 100% reduce 86%
18/03/10 05:03:26 INFO mapreduce.Job:  map 100% reduce 87%
18/03/10 05:03:28 INFO mapreduce.Job:  map 100% reduce 89%
18/03/10 05:03:29 INFO mapreduce.Job:  map 100% reduce 90%
18/03/10 05:03:31 INFO mapreduce.Job:  map 100% reduce 91%
18/03/10 05:03:32 INFO mapreduce.Job:  map 100% reduce 92%
18/03/10 05:03:34 INFO mapreduce.Job:  map 100% reduce 95%
18/03/10 05:03:37 INFO mapreduce.Job:  map 100% reduce 96%
18/03/10 05:03:40 INFO mapreduce.Job:  map 100% reduce 98%
18/03/10 05:03:43 INFO mapreduce.Job:  map 100% reduce 99%
18/03/10 05:03:44 INFO mapreduce.Job:  map 100% reduce 100%
Job output is complete
 
